,Linear corr d15N,wt %N,,Linear corr d13C,wt %C
2021_BG_123_SCAM_ROOT,4.4,0.4,small peak - d15N data unreliable,-29.5,44.9
2021_BG_123_SCAM_STEM,2.9,0.6,,-29.4,46.0
2021_BG_127_SPPA_ROOT,3.4,0.5,,-14.5,49.9
2021_BG_127_SPPA_RHIZ,3.2,0.5,small peak - d15N data unreliable,-13.9,47.7
2021_BG_127_SPPA_STEM,2.8,0.4,small peak - d15N data unreliable,-14.2,47.1
2021_BG_183_SCAM_ROOT,2.3,0.5,small peak - d15N data unreliable,-29.8,47.2
2021_BG_183_SCAM_RHIZ,2.0,0.6,,-30.0,45.4
2021_BG_183_SCAM_STEM,1.4,0.3,small peak - d15N data unreliable,-29.2,46.1
2021_BG_228_SPPA_ROOT,3.4,0.7,,-13.9,50.0
2021_BG_228_SPPA_RHIZ,2.3,0.4,small peak - d15N data unreliable,-13.4,48.0
2021_BG_228_SPPA_STEM,1.9,0.2,small peak - d15N data unreliable,-13.6,47.9
2021_BG_289_SPPA_ROOT,1.5,0.5,small peak - d15N data unreliable,-29.6,43.7
2021_BG_289_SPPA_RHIZ,3.0,0.4,small peak - d15N data unreliable,-30.2,45.4
2021_BG_289_SPPA_STEM,1.3,0.4,small peak - d15N data unreliable,-29.6,44.3
2021_BG_319_SPPA_ROOT,4.0,0.5,small peak - d15N data unreliable,-14.5,48.2
2021_BG_319_SPPA_RHIZ,3.3,0.4,small peak - d15N data unreliable,-14.1,48.4
2021_BG_319_SPPA_STEM,3.0,0.3,small peak - d15N data unreliable,-14.2,47.5
2021_BG_28_SCAM_COMPOSITE,3.1,0.5,,-29.5,47.3
2021_BG_43_SCAM_COMPOSITE,2.9,0.4,small peak - d15N data unreliable,-31.2,45.6
2021_BG_75_SPPA_COMPOSITE,3.3,0.5,small peak - d15N data unreliable,-13.9,48.5
2021_BG_78_SCAM_COMPOSITE,3.3,0.7,,-29.3,48.0
2021_BG_128_SCAM_COMPOSITE,1.8,0.5,small peak - d15N data unreliable,-29.5,45.1
2021_BG_130_SPPA_COMPOSITE,3.8,0.4,small peak - d15N data unreliable,-14.3,48.9
2021_BG_142_SCAM_COMPOSITE,2.3,0.4,small peak - d15N data unreliable,-29.5,45.3
2021_BG_170_SPPA_COMPOSITE,5.2,0.4,small peak - d15N data unreliable,-29.6,45.7
2021_BG_189_SCAM_COMPOSITE,4.7,0.4,small peak - d15N data unreliable,-14.1,48.0
2021_BG_196_SCAM_COMPOSITE,2.6,0.3,small peak - d15N data unreliable,-29.8,46.0
2021_BG_236_SCAM_COMPOSITE,2.1,0.4,small peak - d15N data unreliable,-29.4,44.5
2021_BG_239_SCAM_COMPOSITE,2.7,0.4,small peak - d15N data unreliable,-28.7,46.7
2021_BG_232_SCAM_COMPOSITE,3.6,0.5,small peak - d15N data unreliable,-30.2,45.8
2021_BG_292_SCAM_COMPOSITE,2.6,0.5,small peak - d15N data unreliable,-29.8,45.4
2021_BG_327_SCAM_COMPOSITE,2.1,0.4,small peak - d15N data unreliable,-28.7,46.5
2021_BG_328_SCAM_COMPOSITE,2.9,0.5,small peak - d15N data unreliable,-29.2,46.4
2021_BG_330_SCAM_COMPOSITE,1.7,0.4,small peak - d15N data unreliable,-29.7,46.9
2021_BG_333_SCAM_COMPOSITE,2.9,0.5,small peak - d15N data unreliable,-29.6,44.7
2021_BG_340_SPPA_COMPOSITE,3.5,0.5,small peak - d15N data unreliable,-14.2,48.0
2021_BG_93_COMP_TOP_EXTRA,3.5,0.4,small peak - d15N data unreliable,-29.0,46.8
2021_BG_93_COMP_MIDDLE_EXTRA,3.4,0.5,small peak - d15N data unreliable,-27.7,46.7
2021_BG_93_COMP_BOTTOM_EXTRA,1.8,0.5,small peak - d15N data unreliable,-29.3,47.4
2021_BG_234_COMP_TOP_EXTRA,2.4,0.4,small peak - d15N data unreliable,-28.8,43.9
2021_BG_234_COMP_MIDDLE_EXTRA,2.2,0.4,small peak - d15N data unreliable,-28.6,43.5
2021_BG_234_COMP_BOTTOM_EXTRA,2.4,0.5,small peak - d15N data unreliable,-29.1,46.5
2021_BG_278_COMP_TOP_EXTRA,2.9,0.4,small peak - d15N data unreliable,-25.7,46.9
2021_BG_278_COMP_MIDDLE_EXTRA,3.1,0.6,,-27.8,45.1
2021_BG_278_COMP_BOTTOM_EXTRA,3.0,0.6,,-28.1,46.8
