,Linear corr d15N,wt %N,,Linear corr d13C,wt %C
2021_BG_34_COMP_TOP,5.3,0.3,small peak - d15N data unreliable,-28.9,46.6
2021_BG_34_COMP_MIDDLE,4.0,0.5,small peak - d15N data unreliable,-28.8,45.9
2021_BG_34_COMP_BOTTOM,3.1,0.6,,-28.8,47.4
2021_BG_37_COMP_TOP,3.5,0.6,,-25.1,48.3
2021_BG_37_COMP_MIDDLE,3.1,0.5,small peak - d15N data unreliable,-27.1,46.0
2021_BG_37_COMP_BOTTOM,3.2,0.7,,-28.1,49.5
2021_BG_39_COMP_TOP,2.2,0.4,small peak - d15N data unreliable,-28.1,49.9
2021_BG_39_COMP_MIDDLE,3.0,0.5,small peak - d15N data unreliable,-27.4,49.4
2021_BG_39_COMP_BOTTOM,2.4,0.6,small peak - d15N data unreliable,-28.7,48.6
2021_BG_41_COMP_TOP,3.0,0.6,,-26.2,49.5
2021_BG_41_COMP_MIDDLE,3.0,0.6,,-26.7,47.6
2021_BG_41_COMP_BOTTOM,3.1,0.7,,-27.4,48.0
2021_BG_44_COMP_TOP,4.5,0.5,small peak - d15N data unreliable,-26.4,48.2
2021_BG_44_COMP_MIDDLE,3.3,0.4,small peak - d15N data unreliable,-27.8,47.7
2021_BG_44_COMP_BOTTOM,3.3,0.7,,-28.5,48.1
2021_BG_48_COMP_TOP,3.2,0.4,small peak - d15N data unreliable,-27.3,48.8
2021_BG_48_COMP_MIDDLE,3.0,0.4,small peak - d15N data unreliable,-26.4,48.9
2021_BG_48_COMP_BOTTOM,3.0,0.6,,-27.4,50.0
2021_BG_73_COMP_TOP,2.8,0.5,small peak - d15N data unreliable,-22.7,48.3
2021_BG_73_COMP_MIDDLE,3.9,0.7,,-23.3,48.0
2021_BG_73_COMP_BOTTOM,3.4,1.1,,-22.4,49.1
2021_BG_77_COMP_TOP,3.7,0.6,,-28.0,48.2
2021_BG_77_COMP_MIDDLE,3.6,0.7,,-28.8,47.6
2021_BG_77_COMP_BOTTOM,3.3,0.8,,-28.4,49.9
2021_BG_81_COMP_TOP,5.3,0.5,small peak - d15N data unreliable,-28.0,47.5
2021_BG_81_COMP_MIDDLE,3.5,0.5,small peak - d15N data unreliable,-28.2,47.5
2021_BG_81_COMP_BOTTOM,3.5,0.6,,-29.1,49.6
2021_BG_83_COMP_TOP,3.1,0.4,small peak - d15N data unreliable,-28.8,48.7
2021_BG_83_COMP_MIDDLE,3.2,0.4,small peak - d15N data unreliable,-28.9,45.9
2021_BG_83_COMP_BOTTOM,2.9,0.6,,-29.0,49.7
2021_BG_88_COMP_TOP,4.2,0.4,small peak - d15N data unreliable,-20.3,49.9
2021_BG_88_COMP_MIDDLE,4.2,0.6,,-22.6,49.7
2021_BG_88_COMP_BOTTOM,4.4,0.8,,-24.4,49.2
2021_BG_89_COMP_TOP,2.8,0.5,small peak - d15N data unreliable,-26.6,48.4
2021_BG_89_COMP_MIDDLE,2.8,0.6,,-28.4,47.3
